"","sp_richn","fdis","fmpd","fnnd","feve","fric","fdiv","fori","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4","fred","raoQ","simpson","time"
"19",131,0.572720361869263,0.617314400668995,0.475937980569597,0.733515,0.667194852397698,0.772107322529279,0.391353252448462,0.47612297597247,-0.00452148485133634,-0.0071886277281078,-0.0251616438770241,-0.0132401057270704,0.287914176569435,0.696667167581031,0.984581344150466,"19"
"20",131,0.574929575893064,0.618720219269844,0.474264132744103,0.73782,0.667194852397698,0.773055275533271,0.389899374799057,0.477807909261703,0.00071147642917791,-0.00634169358999865,-0.0242595696447221,-0.0130370980689981,0.287530680945628,0.697102711695358,0.984633392640986,"20"
"21",134,0.59035491332445,0.622513016636529,0.477358323470385,0.744851,0.652528593104311,0.791117492022305,0.39147687145799,0.487188124668444,-0.0090662806646878,0.0146472844080838,-0.00695305414449066,0.00422237892422161,0.291543972296932,0.697312609302068,0.988856581598999,"21"
"22",134,0.590367365456671,0.622435613880613,0.477801418401821,0.745667,0.652528593104311,0.791006773454485,0.392045907770753,0.487127775930042,-0.00974065097729837,0.0142496207874719,-0.00691438721068639,0.00340916039639089,0.291365789151205,0.69750745856929,0.988873247720495,"22"
"23",133,0.589537011810858,0.622517161243063,0.472986978678792,0.742102,0.652528593104311,0.789163781169629,0.389478902319829,0.486706153369121,-0.00999414315783334,0.0128855698098385,-0.00690471938549703,0.0063549537370397,0.292079333017772,0.696712780105995,0.988792113123766,"23"
"24",133,0.589626441386331,0.622576734311206,0.473120363637758,0.741703,0.652528593104311,0.789382702751544,0.389637434152027,0.486779803306872,-0.00993426579500381,0.0131720552480401,-0.0068085177868627,0.00634355518681244,0.292033526404784,0.696750859039339,0.988784385444123,"24"
"25",133,0.588218868520398,0.621871090533285,0.475032111858438,0.742835,0.652528593104311,0.788786626869648,0.390386019453901,0.485564644345227,-0.0123527425733739,0.0157943580251737,-0.00646901568151579,0.00591470721697282,0.292707479538539,0.696073833981562,0.988781313520101,"25"
"26",139,0.604399601048644,0.635212107542286,0.470162894629573,0.768114,0.685047857382775,0.786161955061226,0.397765052248527,0.49892552770131,0.0100164855374497,0.00970087353045135,-0.0073965424808715,0.00167997036435662,0.276579979056912,0.714454042806333,0.991034021863246,"26"
"27",139,0.605355935229015,0.635751473257874,0.470974024343301,0.76854,0.685047857382775,0.787582383657067,0.398266353824282,0.499710648185527,0.010327046553972,0.0101851222862168,-0.00752036009831007,0.00091674801944638,0.276166601437745,0.714841891457706,0.991008492895452,"27"
"28",139,0.605328490319638,0.635731650503481,0.471014082041503,0.768439,0.685047857382775,0.787566374905226,0.398309628318636,0.499685595782178,0.010359445219287,0.0101284352768542,-0.00745016675648383,0.00095364994596232,0.276220335030047,0.71479139052903,0.991011725559077,"28"
"29",138,0.606845347528993,0.637123709335667,0.47336988589643,0.768692,0.685047857382775,0.788485393319394,0.398836905777612,0.501086319736026,0.00933622013195666,0.0120844359302094,-0.00838281846428272,0.0014846906519634,0.274980267497656,0.715948228317923,0.990928495815579,"29"
"30",141,0.612063976975485,0.642395827721072,0.477518125531477,0.756653,0.704254987302319,0.786394024354289,0.393852489348518,0.505927627783036,0.0226611531918651,0.010721891496247,-0.0111835173734826,0.00286344659308856,0.272722832893406,0.717874081540718,0.990596914434124,"30"
